_id,date,idLandlot,tag,tagPolygon
ObjectId(5b286c86619629e876ae91b2),1494392400000,bfebcc00-7366-11e8-9165-d7b9703d8efb,Tizon tardio,"{""coordinates"":[[[-74.04503087018668,4.799226606596814],[-74.04502751742541,4.799181837108914],[-74.04499600146949,4.799183173511593],[-74.04500002478301,4.7992292794019695],[-74.04502818797766,4.799232620408396],[-74.04503087018668,4.799226606596814]]],""type"":""Polygon""}"
ObjectId(5b2b0742619629e876ae91b3),1494457674514,321a7e50-74e5-11e8-9cab-55a210069b83,Tizon tardio,"{""coordinates"":[[[-74.04496885119067,4.7992160035933376],[-74.04494102327214,4.799221683304368],[-74.04492694167482,4.79919595755403],[-74.04496080456363,4.799189609641476],[-74.04496885119067,4.7992160035933376]]],""type"":""Polygon""}"
ObjectId(5b314503619629e876ae91b4),1494392400000,321a7e50-74e5-11e8-9cab-55a210069b83,Tizon tardio,"{""coordinates"":[[[-74.04497186613304,4.799167487556981],[-74.04501075816376,4.799164480650903],[-74.04500774067861,4.799109019936539],[-74.04497153085691,4.799114031447062],[-74.04497186613304,4.799167487556981]]],""type"":""Polygon""}"
